Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Togo,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,      5.82,      6.55,,,,,,,,,,,,,
Togo,China,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,      4.44,,,,,,,,,,,,,,,,
Togo,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     20.06,     17.67,     15.98,     13.75,     14.89,     15.07,     15.15,     12.97,     15.76,,     13.16,      8.34,,,,,,,,,,,,,,,,
Togo,Cote d'Ivoire,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,      3.40,      4.32,,      5.72,,,      6.47,      6.06,      5.80,      6.28,      5.73,     11.75,     11.59,      9.24,     10.57,     10.90,      7.66,      6.25,,,,,,
Togo,Finland,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      7.97,,,,,,,,,,,,,,,,,,,,,
Togo,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,      4.35,,,,,,,,,,,,,,,,,,,,,,
Togo,France,All Products,Import,Partner share(%)-Top 5 Import Partner,      9.36,      9.41,      7.85,      9.42,      9.53,     13.59,     11.65,     16.38,     19.19,,     17.60,     19.49,     20.89,     20.35,     19.09,     23.33,     17.52,     27.92,     19.68,     21.36,     20.56,     24.02,,,,,,
Togo,Free Zones,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,     37.97,,,,,,,,,,,,,,,,,,,,,,
Togo,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      4.52,      5.05,      4.45,      4.34,,,,      4.86,      5.34,      9.87,,,,,,
Togo,Ghana,All Products,Export,Partner share(%)-Top 5 Export Partner,,      8.46,      9.97,,      9.18,      5.23,     15.83,,,,     20.30,     11.85,     13.76,     21.47,     22.43,     16.57,     10.91,      8.54,      6.28,      7.65,,,,,,,,
Togo,Ghana,All Products,Import,Partner share(%)-Top 5 Import Partner,,,      4.83,      4.29,,,,,,,,,,,,,,,,,,,,,,,,
Togo,India,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.74,     13.48,,,,,     14.18,,      9.77,,      5.89,,,,,,,,,,,,,,,,,
Togo,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,      5.66,,,,,,
Togo,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,      5.29,,,,,,,,,,,,
Togo,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      4.46,      3.74,      4.42,,      6.05,,,      5.44,,,,,,,,,,
Togo,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Mali,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.45,,,,,,,,,,      7.37,     11.17,      6.61,,,,,,,,,,,,,,,
Togo,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,     20.14,,,,,,,,,,,,,,,
Togo,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,,      4.81,      7.52,,,,      5.93,      7.43,     11.10,,,,     12.01,,,      6.41,,      6.37,      7.42,      5.61,      5.33,      5.18,,,,,,
Togo,Niger,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.73,     13.20,      9.39,      9.23,     10.50,      5.72,,      8.75,     12.71,,,,,      4.62,      4.43,,,,,,,,,,,,,
